"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MA1","OD1","REM","EQD"
"04301099999","2017-01-05T06:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","270,1,N,0041,1","99999,9,9,N","999999,9,9,9","-0272,1","-0304,1","10034,1","99999,9,10029,1",,"SYN04204301 46/// /2708 11272 21304 30029 40034=",
"04301099999","2017-01-05T07:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","270,1,N,0046,1","99999,9,9,N","999999,9,9,9","-0270,1","-0302,1","10037,1","99999,9,10032,1",,"SYN04204301 46/// /2709 11270 21302 30032 40037=",
"04301099999","2017-01-05T08:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","270,1,N,0051,1","99999,9,9,N","999999,9,9,9","-0271,1","-0303,1","10039,1","99999,9,10034,1",,"SYN04204301 46/// /2710 11271 21303 30034 40039=",
"04301099999","2017-01-05T09:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","280,1,N,0046,1","99999,9,9,N","999999,9,9,9","-0271,1","-0301,1","10044,1","99999,9,10039,1",,"SYN04204301 46/// /2809 11271 21301 30039 40044=",
"04301099999","2017-01-05T10:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","270,1,N,0031,1","99999,9,9,N","999999,9,9,9","-0273,1","-0303,1","10048,1","99999,9,10043,1",,"SYN04204301 46/// /2706 11273 21303 30043 40048=",
"04301099999","2017-01-05T11:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","270,1,N,0036,1","99999,9,9,N","999999,9,9,9","-0262,1","-0294,1","10053,1","99999,9,10048,1",,"SYN04204301 46/// /2707 11262 21294 30048 40053=",
"04301099999","2017-01-05T12:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","230,1,N,0021,1","99999,9,9,N","999999,9,9,9","-0258,1","-0286,1","10057,1","99999,9,10052,1",,"SYN04204301 46/// /2304 11258 21286 30052 40057=",
"04301099999","2017-01-05T13:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","170,1,N,0015,1","99999,9,9,N","999999,9,9,9","-0255,1","-0283,1","10062,1","99999,9,10057,1",,"SYN04204301 46/// /1703 11255 21283 30057 40062=",
"04301099999","2017-01-05T14:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","200,1,N,0015,1","99999,9,9,N","999999,9,9,9","-0254,1","-0291,1","10059,1","99999,9,10054,1",,"SYN04204301 46/// /2003 11254 21291 30054 40059=",
"04301099999","2017-01-05T15:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","270,1,N,0026,1","99999,9,9,N","999999,9,9,9","-0248,1","-0274,1","10066,1","99999,9,10061,1",,"SYN04204301 46/// /2705 11248 21274 30061 40066=",
